METHOD	PATH	HANDLER
GET	/api/v1/compliance/soc2/dashboard	soc2_dashboard
POST	/api/v1/compliance/soc2/evaluate	soc2_evaluate
GET	/api/v1/compliance/soc2/evidence	soc2_evidence
POST	/api/v1/covenants	create_covenant_endpoint
POST	/api/v1/covenants/check	run_check_endpoint
GET	/api/v1/covenants/dashboard	covenant_dashboard_endpoint
PATCH	/api/v1/covenants/{covenant_id}	patch_covenant_endpoint
GET	/api/v1/covenants/{covenant_id}/history	history_endpoint
GET	/api/v1/delivery/logs	list_logs
GET	/api/v1/delivery/logs/{id}	get_log
GET	/api/v1/delivery/schedules	list_schedules
POST	/api/v1/delivery/schedules	create_schedule
DELETE	/api/v1/delivery/schedules/{id}	delete_schedule
GET	/api/v1/delivery/schedules/{id}	get_schedule
PATCH	/api/v1/delivery/schedules/{id}	update_schedule
POST	/api/v1/delivery/schedules/{id}/trigger	trigger_schedule
POST	/api/v1/equity/line-definitions	create_line_definition
GET	/api/v1/equity/rules	list_rules
POST	/api/v1/equity/rules	create_rule
GET	/api/v1/equity/rules/{id}/versions	list_rule_versions
POST	/api/v1/equity/runs	create_run
GET	/api/v1/equity/runs/{id}	get_run
GET	/api/v1/equity/runs/{id}/evidence	get_run_evidence
POST	/api/v1/equity/runs/{id}/execute	execute_run
GET	/api/v1/equity/runs/{id}/lines	get_run_lines
GET	/api/v1/equity/runs/{id}/statement	get_run_statement
GET	/api/v1/equity/runs/{id}/summary	get_run_summary
POST	/api/v1/equity/source-mappings	create_source_mapping
GET	/api/v1/equity/statements	list_statement_definitions
POST	/api/v1/equity/statements	create_statement_definition
GET	/api/v1/equity/statements/{id}/versions	list_statement_definition_versions
GET	/api/v1/expenses	list_expenses
POST	/api/v1/expenses	submit_expense
GET	/api/v1/expenses/analytics	analytics
GET	/api/v1/expenses/policy	get_policy
PATCH	/api/v1/expenses/policy	patch_policy
GET	/api/v1/expenses/{claim_id}	get_expense_claim
POST	/api/v1/expenses/{claim_id}/approve	approve_expense_claim
GET	/api/v1/financial-risk/materiality-rules	list_materiality_rules
POST	/api/v1/financial-risk/materiality-rules	create_materiality_rule
GET	/api/v1/financial-risk/materiality-rules/{id}/versions	list_materiality_rule_versions
GET	/api/v1/financial-risk/risk-definitions	list_risk_definitions
POST	/api/v1/financial-risk/risk-definitions	create_risk_definition
GET	/api/v1/financial-risk/risk-definitions/{id}/versions	list_risk_definition_versions
GET	/api/v1/financial-risk/risk-weights	list_risk_weights
POST	/api/v1/financial-risk/risk-weights	create_risk_weight
GET	/api/v1/financial-risk/risk-weights/{id}/versions	list_risk_weight_versions
POST	/api/v1/financial-risk/runs	create_run
GET	/api/v1/financial-risk/runs/{id}	get_run
GET	/api/v1/financial-risk/runs/{id}/evidence	list_run_evidence
POST	/api/v1/financial-risk/runs/{id}/execute	execute_run
GET	/api/v1/financial-risk/runs/{id}/results	list_run_results
GET	/api/v1/financial-risk/runs/{id}/rollforwards	list_run_rollforwards
GET	/api/v1/financial-risk/runs/{id}/signals	list_run_signals
GET	/api/v1/financial-risk/runs/{id}/summary	get_run_summary
GET	/api/v1/fixed-assets	get_assets
POST	/api/v1/fixed-assets	create_asset
GET	/api/v1/fixed-assets/asset-classes	get_asset_classes
POST	/api/v1/fixed-assets/asset-classes	create_asset_class
PATCH	/api/v1/fixed-assets/asset-classes/{asset_class_id}	update_asset_class
GET	/api/v1/fixed-assets/register	get_register
GET	/api/v1/fixed-assets/results/{run_id}	get_fixed_assets_results_endpoint
POST	/api/v1/fixed-assets/run	start_fixed_assets_run_endpoint
POST	/api/v1/fixed-assets/run-period-depreciation	run_period_depreciation
GET	/api/v1/fixed-assets/run/{run_id}	get_fixed_assets_run_status_endpoint
GET	/api/v1/fixed-assets/run/{run_id}/assets/{asset_id}	get_fixed_asset_drill_endpoint
GET	/api/v1/fixed-assets/run/{run_id}/depreciation-lines/{line_id}	get_fixed_asset_depreciation_drill_endpoint
GET	/api/v1/fixed-assets/run/{run_id}/disposals/{disposal_id}	get_fixed_asset_disposal_drill_endpoint
GET	/api/v1/fixed-assets/run/{run_id}/impairments/{impairment_id}	get_fixed_asset_impairment_drill_endpoint
GET	/api/v1/fixed-assets/run/{run_id}/journal-entries/{journal_id}	get_fixed_asset_journal_drill_endpoint
GET	/api/v1/fixed-assets/{asset_id}	get_asset
PATCH	/api/v1/fixed-assets/{asset_id}	update_asset
GET	/api/v1/fixed-assets/{asset_id}/depreciation-history	get_depreciation_history
POST	/api/v1/fixed-assets/{asset_id}/depreciation-run	run_asset_depreciation
POST	/api/v1/fixed-assets/{asset_id}/dispose	dispose_asset
POST	/api/v1/fixed-assets/{asset_id}/impairment	post_impairment
GET	/api/v1/fixed-assets/{asset_id}/impairment-history	get_impairment_history
POST	/api/v1/fixed-assets/{asset_id}/revaluation	post_revaluation
GET	/api/v1/fixed-assets/{asset_id}/revaluation-history	get_revaluation_history
GET	/api/v1/forecast	list_runs
POST	/api/v1/forecast	create_run
GET	/api/v1/forecast/{run_id}	get_run
PATCH	/api/v1/forecast/{run_id}/assumptions/{key}	patch_assumption
POST	/api/v1/forecast/{run_id}/compute	compute
GET	/api/v1/forecast/{run_id}/export	export_run
POST	/api/v1/forecast/{run_id}/publish	publish
GET	/api/v1/forecast/{run_id}/vs-budget	vs_budget
POST	/api/v1/fx/apply-month-end	apply_month_end_endpoint
GET	/api/v1/fx/compare	compare_rates_endpoint
POST	/api/v1/fx/convert-daily	convert_daily_endpoint
POST	/api/v1/fx/fetch-live	fetch_live_rates_endpoint
GET	/api/v1/fx/manual-monthly	list_manual_monthly_rates_endpoint
POST	/api/v1/fx/manual-monthly	create_manual_monthly_rate_endpoint
GET	/api/v1/fx/rate-policies	list_rate_selection_policies
POST	/api/v1/fx/rate-policies	create_rate_selection_policy
GET	/api/v1/fx/rate-policies/{id}/versions	list_rate_selection_policy_versions
GET	/api/v1/fx/reporting-currencies	list_reporting_currency_definitions
POST	/api/v1/fx/reporting-currencies	create_reporting_currency_definition
GET	/api/v1/fx/reporting-currencies/{id}/versions	list_reporting_currency_definition_versions
POST	/api/v1/fx/runs	create_fx_translation_run
GET	/api/v1/fx/runs/{id}	get_fx_translation_run
GET	/api/v1/fx/runs/{id}/anomalies	list_fx_translated_anomalies
GET	/api/v1/fx/runs/{id}/board-pack	get_fx_translated_board_pack
GET	/api/v1/fx/runs/{id}/evidence	list_fx_translation_evidence
POST	/api/v1/fx/runs/{id}/execute	execute_fx_translation_run
GET	/api/v1/fx/runs/{id}/metrics	list_fx_translated_metrics
GET	/api/v1/fx/runs/{id}/risks	list_fx_translated_risks
GET	/api/v1/fx/runs/{id}/summary	get_fx_translation_run_summary
GET	/api/v1/fx/runs/{id}/variances	list_fx_translated_variances
GET	/api/v1/fx/translation-rules	list_translation_rule_definitions
POST	/api/v1/fx/translation-rules	create_translation_rule_definition
GET	/api/v1/fx/translation-rules/{id}/versions	list_translation_rule_definition_versions
POST	/api/v1/fx/variance	compute_variance_endpoint
GET	/api/v1/gaap/comparison	comparison_endpoint
POST	/api/v1/gaap/compute	compute_endpoint
GET	/api/v1/gaap/config	get_config_endpoint
PATCH	/api/v1/gaap/config	patch_config_endpoint
GET	/api/v1/gaap/{gaap_framework}/{period}	get_specific_endpoint
GET	/api/v1/gst/recon-items	list_gst_recon_items_endpoint
POST	/api/v1/gst/reconcile	run_gst_recon
GET	/api/v1/gst/returns	list_returns
POST	/api/v1/gst/returns	create_return
GET	/api/v1/gst/returns/{return_id}	get_return
GET	/api/v1/health	health_check
GET	/api/v1/health/ai	health_ai
GET	/api/v1/health/deep	deep_health_check
GET	/api/v1/health/queues	health_queues
GET	/api/v1/health/temporal	health_temporal
GET	/api/v1/health/workers	health_workers
POST	/api/v1/ingestion/email/ingest	email_ingest_endpoint
GET	/api/v1/ingestion/vendor-portal/status/{reference_id}	vendor_portal_status_endpoint
POST	/api/v1/ingestion/vendor-portal/submit	vendor_portal_submit_endpoint
GET	/api/v1/invoice-classifier	get_classifications
POST	/api/v1/invoice-classifier/classify	classify_invoice
GET	/api/v1/invoice-classifier/queue	get_review_queue
GET	/api/v1/invoice-classifier/rules	get_rules
POST	/api/v1/invoice-classifier/rules	create_rule
DELETE	/api/v1/invoice-classifier/rules/{rule_id}	delete_rule
PATCH	/api/v1/invoice-classifier/rules/{rule_id}	patch_rule
POST	/api/v1/invoice-classifier/{classification_id}/review	review_classification
POST	/api/v1/invoice-classifier/{classification_id}/route	route_classification
GET	/api/v1/learning/benchmark/results	benchmark_results_endpoint
POST	/api/v1/learning/benchmark/run	run_benchmark_endpoint
POST	/api/v1/learning/corrections/{correction_id}/validate	validate_correction_endpoint
POST	/api/v1/learning/signal	capture_signal_endpoint
GET	/api/v1/learning/stats	learning_stats_endpoint
GET	/api/v1/locations	get_locations
POST	/api/v1/locations	create_location
GET	/api/v1/locations/cost-centres	get_cost_centres
POST	/api/v1/locations/cost-centres	create_cost_centre
GET	/api/v1/locations/cost-centres/tree	get_cost_centre_tree
PATCH	/api/v1/locations/cost-centres/{cost_centre_id}	patch_cost_centre
GET	/api/v1/locations/state-codes	get_state_codes
GET	/api/v1/locations/validate-gstin	validate_gstin_endpoint
GET	/api/v1/locations/{location_id}	get_location
PATCH	/api/v1/locations/{location_id}	patch_location
POST	/api/v1/locations/{location_id}/set-primary	set_primary_location
POST	/api/v1/marketplace/admin/payouts/process	admin_process_payouts_endpoint
GET	/api/v1/marketplace/admin/pending	admin_pending_templates_endpoint
GET	/api/v1/marketplace/admin/stats	admin_marketplace_stats_endpoint
POST	/api/v1/marketplace/admin/templates/{template_id}/review	admin_review_template_endpoint
GET	/api/v1/marketplace/contributor/dashboard	contributor_dashboard_endpoint
POST	/api/v1/marketplace/contributor/register	register_contributor_endpoint
POST	/api/v1/marketplace/contributor/templates	submit_template_endpoint
PATCH	/api/v1/marketplace/contributor/templates/{template_id}	update_contributor_template_endpoint
GET	/api/v1/marketplace/templates	list_templates_endpoint
GET	/api/v1/marketplace/templates/{template_id}	get_template_endpoint
POST	/api/v1/marketplace/templates/{template_id}/purchase	purchase_template_endpoint
POST	/api/v1/marketplace/templates/{template_id}/rate	rate_template_endpoint
GET	/api/v1/notifications	list_notifications_endpoint
GET	/api/v1/notifications/preferences	get_preferences_endpoint
PATCH	/api/v1/notifications/preferences	update_preferences_endpoint
POST	/api/v1/notifications/read	mark_as_read_endpoint
POST	/api/v1/notifications/read-all	mark_all_as_read_endpoint
GET	/api/v1/notifications/stream	stream_notifications_endpoint
GET	/api/v1/notifications/unread-count	unread_count_endpoint
GET	/api/v1/partner/admin/applications	admin_applications_endpoint
GET	/api/v1/partner/admin/stats	admin_partner_stats_endpoint
POST	/api/v1/partner/admin/{partner_id}/approve	admin_approve_partner_endpoint
GET	/api/v1/partner/commissions	commissions_endpoint
GET	/api/v1/partner/dashboard	dashboard_endpoint
GET	/api/v1/partner/payouts	payouts_endpoint
GET	/api/v1/partner/referrals	referrals_endpoint
POST	/api/v1/partner/register	register_partner_endpoint
POST	/api/v1/partner/track	track_referral_endpoint
GET	/api/v1/platform/entities	list_entities_endpoint
GET	/api/v1/platform/entities/{entity_id}	get_entity_endpoint
POST	/api/v1/platform/flags/evaluate	evaluate_feature_flag_endpoint
POST	/api/v1/platform/flags/tenants/{tenant_id}	create_feature_flag_endpoint
