METHOD	PATH	HANDLER
GET	/api/v1/erp-sync/mappings/{id}	get_mapping
GET	/api/v1/erp-sync/mappings/{id}/versions	list_mapping_versions
POST	/api/v1/erp-sync/mappings/{id}/versions	create_mapping_version
POST	/api/v1/erp-sync/mappings/{id}/versions/{vid}/activate	activate_mapping_version
GET	/api/v1/erp-sync/period-locks	list_period_locks
POST	/api/v1/erp-sync/period-locks	create_period_lock
GET	/api/v1/erp-sync/publish-events	list_publish_events
GET	/api/v1/erp-sync/publish-events/{id}	get_publish_event
POST	/api/v1/erp-sync/publish-events/{id}/approve	approve_publish_event
POST	/api/v1/erp-sync/publish-events/{id}/reject	reject_publish_event
GET	/api/v1/erp-sync/sync-definitions	list_sync_definitions
POST	/api/v1/erp-sync/sync-definitions	create_sync_definition
GET	/api/v1/erp-sync/sync-definitions/{id}	get_sync_definition
POST	/api/v1/erp-sync/sync-definitions/{id}/retire	retire_sync_definition
POST	/api/v1/erp-sync/sync-definitions/{id}/supersede	supersede_sync_definition
GET	/api/v1/erp-sync/sync-runs	list_sync_runs
POST	/api/v1/erp-sync/sync-runs	create_sync_run
GET	/api/v1/erp-sync/sync-runs/{id}	get_sync_run
GET	/api/v1/erp-sync/sync-runs/{id}/drift-report	get_sync_run_drift_report
GET	/api/v1/erp-sync/sync-runs/{id}/errors	get_sync_run_errors
GET	/api/v1/erp-sync/sync-runs/{id}/evidence	get_sync_run_evidence
POST	/api/v1/erp-sync/sync-runs/{id}/publish	publish_sync_run
POST	/api/v1/erp-sync/sync-runs/{id}/replay	replay_sync_run
POST	/api/v1/erp-sync/sync-runs/{id}/resume	resume_sync_run
GET	/api/v1/lease/results/{run_id}	get_lease_results_endpoint
POST	/api/v1/lease/run	start_lease_run_endpoint
GET	/api/v1/lease/run/{run_id}	get_lease_run_status_endpoint
GET	/api/v1/lease/run/{run_id}/journal-entries/{journal_id}	get_lease_journal_drill_endpoint
GET	/api/v1/lease/run/{run_id}/leases/{lease_id}	get_lease_contract_drill_endpoint
GET	/api/v1/lease/run/{run_id}/liability-lines/{line_id}	get_lease_liability_drill_endpoint
GET	/api/v1/lease/run/{run_id}/payments/{payment_id}	get_lease_payment_drill_endpoint
GET	/api/v1/lease/run/{run_id}/rou-lines/{line_id}	get_lease_rou_drill_endpoint
GET	/api/v1/monthend/	list_monthend_checklists
POST	/api/v1/monthend/	create_monthend_checklist
GET	/api/v1/monthend/{checklist_id}	get_monthend_checklist
POST	/api/v1/monthend/{checklist_id}/close	close_monthend_checklist
POST	/api/v1/monthend/{checklist_id}/tasks	add_checklist_task
PATCH	/api/v1/monthend/{checklist_id}/tasks/{task_id}	update_task
POST	/api/v1/normalization/runs/upload	upload_run
GET	/api/v1/normalization/runs/{id}	get_run
GET	/api/v1/normalization/runs/{id}/exceptions	get_run_exceptions
POST	/api/v1/normalization/runs/{id}/finalize	finalize_run
GET	/api/v1/normalization/runs/{id}/gl-lines	get_gl_lines
GET	/api/v1/normalization/runs/{id}/payroll-lines	get_payroll_lines
GET	/api/v1/normalization/runs/{id}/summary	get_run_summary
POST	/api/v1/normalization/runs/{id}/validate	validate_run
GET	/api/v1/normalization/sources	list_sources
POST	/api/v1/normalization/sources/commit-version	commit_source_version
POST	/api/v1/normalization/sources/detect	detect_source
GET	/api/v1/normalization/sources/{id}/versions	list_source_versions
POST	/api/v1/payroll-gl-reconciliation/lines/{id}/attach-evidence	attach_evidence
POST	/api/v1/payroll-gl-reconciliation/lines/{id}/reopen	reopen_line
POST	/api/v1/payroll-gl-reconciliation/lines/{id}/resolve	resolve_line
GET	/api/v1/payroll-gl-reconciliation/mappings	list_mappings
POST	/api/v1/payroll-gl-reconciliation/mappings	create_mapping
GET	/api/v1/payroll-gl-reconciliation/mappings/{id}/versions	list_mapping_versions
GET	/api/v1/payroll-gl-reconciliation/rules	list_rules
POST	/api/v1/payroll-gl-reconciliation/rules	create_rule
GET	/api/v1/payroll-gl-reconciliation/rules/{id}/versions	list_rule_versions
POST	/api/v1/payroll-gl-reconciliation/runs	create_run
GET	/api/v1/payroll-gl-reconciliation/runs/{id}	get_run
GET	/api/v1/payroll-gl-reconciliation/runs/{id}/exceptions	list_exceptions
POST	/api/v1/payroll-gl-reconciliation/runs/{id}/execute	execute_run
GET	/api/v1/payroll-gl-reconciliation/runs/{id}/lines	list_lines
GET	/api/v1/payroll-gl-reconciliation/runs/{id}/summary	get_run_summary
GET	/api/v1/prepaid	get_schedules
POST	/api/v1/prepaid	create_schedule
GET	/api/v1/prepaid/results/{run_id}	get_prepaid_results_endpoint
POST	/api/v1/prepaid/run	start_prepaid_run_endpoint
POST	/api/v1/prepaid/run-period	run_period
GET	/api/v1/prepaid/run/{run_id}	get_prepaid_run_status_endpoint
GET	/api/v1/prepaid/run/{run_id}/journal-entries/{journal_id}	get_prepaid_journal_drill_endpoint
GET	/api/v1/prepaid/run/{run_id}/prepaids/{prepaid_id}	get_prepaid_registry_drill_endpoint
GET	/api/v1/prepaid/run/{run_id}/schedule-lines/{schedule_id}	get_prepaid_schedule_drill_endpoint
GET	/api/v1/prepaid/{schedule_id}	get_schedule
PATCH	/api/v1/prepaid/{schedule_id}	patch_schedule
GET	/api/v1/prepaid/{schedule_id}/entries	get_entries
GET	/api/v1/prepaid/{schedule_id}/schedule	get_amortisation_schedule
GET	/api/v1/recon/gl-entries	list_gl_entries_endpoint
POST	/api/v1/recon/gl-entries	import_gl_entry
GET	/api/v1/recon/items	list_reconciliation_items
POST	/api/v1/recon/run	run_reconciliation
GET	/api/v1/recon/tb-rows	list_tb_rows_endpoint
POST	/api/v1/recon/tb-rows	import_tb_row
POST	/api/v1/reconciliation/lines/{id}/attach-evidence	attach_reconciliation_line_evidence
POST	/api/v1/reconciliation/lines/{id}/explain	add_reconciliation_line_explanation
POST	/api/v1/reconciliation/lines/{id}/reopen	reopen_reconciliation_line
POST	/api/v1/reconciliation/lines/{id}/resolve	resolve_reconciliation_line
POST	/api/v1/reconciliation/sessions	create_reconciliation_session
GET	/api/v1/reconciliation/sessions/{id}	get_reconciliation_session
GET	/api/v1/reconciliation/sessions/{id}/exceptions	list_reconciliation_exceptions
GET	/api/v1/reconciliation/sessions/{id}/lines	list_reconciliation_lines
POST	/api/v1/reconciliation/sessions/{id}/run	run_reconciliation_session
GET	/api/v1/reconciliation/sessions/{id}/summary	get_reconciliation_session_summary
GET	/api/v1/revenue/results/{run_id}	get_revenue_results_endpoint
POST	/api/v1/revenue/run	start_revenue_run_endpoint
GET	/api/v1/revenue/run/{run_id}	get_revenue_run_status_endpoint
GET	/api/v1/revenue/run/{run_id}/contracts/{contract_id}	get_revenue_contract_drill_endpoint
GET	/api/v1/revenue/run/{run_id}/journal-entries/{journal_id}	get_revenue_journal_drill_endpoint
GET	/api/v1/revenue/run/{run_id}/obligations/{obligation_id}	get_revenue_obligation_drill_endpoint
GET	/api/v1/revenue/run/{run_id}/schedule-lines/{schedule_id}	get_revenue_schedule_drill_endpoint
GET	/api/v1/tax/positions	list_positions_endpoint
POST	/api/v1/tax/positions	upsert_position_endpoint
POST	/api/v1/tax/provision/compute	compute_provision_endpoint
GET	/api/v1/tax/provision/{period}	get_provision_endpoint
GET	/api/v1/tax/schedule	get_schedule_endpoint
GET	/api/v1/treasury/forecasts	list_forecasts_endpoint
POST	/api/v1/treasury/forecasts	create_forecast_endpoint
GET	/api/v1/treasury/forecasts/{forecast_id}	get_forecast_endpoint
POST	/api/v1/treasury/forecasts/{forecast_id}/publish	publish_forecast_endpoint
PATCH	/api/v1/treasury/forecasts/{forecast_id}/weeks/{week_number}	update_week_endpoint
GET	/api/v1/working-capital/ap	list_ap
GET	/api/v1/working-capital/ar	list_ar
GET	/api/v1/working-capital/dashboard	wc_dashboard
GET	/api/v1/working-capital/snapshots	list_wc_snapshots
POST	/api/v1/working-capital/snapshots	create_wc_snapshot
GET	/api/v1/working-capital/snapshots/latest/{entity_name}	get_latest_wc
GET	/api/v1/working-capital/trends	trends
