CATEGORY	METHOD	PATH	HANDLER
misc	POST	/api/v1/auth/mfa/verify	mfa_verify
misc	POST	/api/v1/auth/mfa/verify-setup	verify_mfa_setup
misc	POST	/api/v1/auth/refresh	token_refresh
misc	POST	/api/v1/auth/register	register
misc	POST	/api/v1/auth/reset-password	reset_password
misc	POST	/api/v1/backup/log	backup_log
misc	GET	/api/v1/backup/runs	backup_runs
misc	GET	/api/v1/backup/status	backup_status
misc	POST	/api/v1/backup/verify-integrity	backup_verify_integrity
accounting	GET	/api/v1/bank-recon/items	list_recon_items
accounting	POST	/api/v1/bank-recon/run/{statement_id}	run_bank_recon
accounting	GET	/api/v1/bank-recon/statements	list_statements
accounting	POST	/api/v1/bank-recon/statements	create_statement
accounting	POST	/api/v1/bank-recon/transactions	add_transaction
accounting	GET	/api/v1/bank-recon/transactions/{statement_id}	list_transactions
accounting	POST	/api/v1/bank-recon/upload-statement	upload_bank_statement
misc	POST	/api/v1/billing/admin/activate-tenant	activate_tenant_billing
misc	POST	/api/v1/billing/admin/adjust-credits	adjust_credits
misc	POST	/api/v1/billing/admin/override-provider	override_provider
misc	GET	/api/v1/billing/credits/balance	get_credit_balance
misc	GET	/api/v1/billing/credits/ledger	get_credit_ledger
misc	POST	/api/v1/billing/credits/top-up	top_up_credits
misc	GET	/api/v1/billing/invoices	list_invoices
misc	GET	/api/v1/billing/invoices/{id}	get_invoice
misc	POST	/api/v1/billing/invoices/{id}/pay	pay_invoice
misc	GET	/api/v1/billing/payment-methods	list_payment_methods
misc	POST	/api/v1/billing/payment-methods	create_payment_method
misc	DELETE	/api/v1/billing/payment-methods/{id}	delete_payment_method
misc	POST	/api/v1/billing/payment-methods/{id}/set-default	set_default_payment_method
misc	GET	/api/v1/billing/plans	list_billing_plans
misc	GET	/api/v1/billing/plans/{id}	get_billing_plan
misc	GET	/api/v1/billing/portal	get_billing_portal
misc	POST	/api/v1/billing/subscriptions	create_subscription
misc	POST	/api/v1/billing/subscriptions/cancel	cancel_subscription
misc	GET	/api/v1/billing/subscriptions/current	get_current_subscription
misc	POST	/api/v1/billing/subscriptions/reactivate	reactivate_subscription
misc	POST	/api/v1/billing/subscriptions/upgrade	upgrade_subscription
misc	POST	/api/v1/billing/webhooks/razorpay	razorpay_webhook
misc	POST	/api/v1/billing/webhooks/stripe	stripe_webhook
reporting	GET	/api/v1/board-pack/definitions	list_definitions
reporting	POST	/api/v1/board-pack/definitions	create_definition
reporting	GET	/api/v1/board-pack/definitions/{id}/versions	list_definition_versions
reporting	GET	/api/v1/board-pack/inclusion-rules	list_inclusion_rules
reporting	POST	/api/v1/board-pack/inclusion-rules	create_inclusion_rule
reporting	GET	/api/v1/board-pack/inclusion-rules/{id}/versions	list_inclusion_rule_versions
reporting	GET	/api/v1/board-pack/narrative-templates	list_narrative_templates
reporting	POST	/api/v1/board-pack/narrative-templates	create_narrative_template
reporting	GET	/api/v1/board-pack/narrative-templates/{id}/versions	list_narrative_template_versions
reporting	POST	/api/v1/board-pack/runs	create_run
reporting	GET	/api/v1/board-pack/runs/{id}	get_run
reporting	GET	/api/v1/board-pack/runs/{id}/evidence	list_evidence_for_run
reporting	POST	/api/v1/board-pack/runs/{id}/execute	execute_run
reporting	GET	/api/v1/board-pack/runs/{id}/narratives	list_narratives_for_run
reporting	GET	/api/v1/board-pack/runs/{id}/sections	list_sections_for_run
reporting	GET	/api/v1/board-pack/runs/{id}/summary	run_summary
reporting	GET	/api/v1/board-pack/sections	list_sections
reporting	POST	/api/v1/board-pack/sections	create_section
reporting	GET	/api/v1/board-pack/sections/{id}/versions	list_section_versions
reporting	GET	/api/v1/board-packs/definitions	list_definitions
reporting	POST	/api/v1/board-packs/definitions	create_definition
reporting	DELETE	/api/v1/board-packs/definitions/{definition_id}	deactivate_definition
reporting	GET	/api/v1/board-packs/definitions/{definition_id}	get_definition
reporting	PATCH	/api/v1/board-packs/definitions/{definition_id}	update_definition
reporting	POST	/api/v1/board-packs/generate	generate_pack
reporting	GET	/api/v1/board-packs/runs	list_runs
reporting	GET	/api/v1/board-packs/runs/{run_id}	get_run
